"I(lj1)_x","I(lj1)_y","I(lj2)_x","I(lj2)_y","I(lj21)_x","I(lj21)_y","I(lj22)_x","I(lj22)_y","I(lj23)_x","I(lj23)_y","I(lj24)_x","I(lj24)_y","I(lj25)_x","I(lj25)_y","I(lj3)_x","I(lj3)_y","I(lj4)_x","I(lj4)_y","I(lj5)_x","I(lj5)_y","I(lc)_x","I(lc)_y"
65.22772619,-0.004489078833,65.22772619,-0.007882594399,65.22772619,0.01256524152,65.22772619,0.01265849849,65.22772619,0.0122204198,65.22772619,0.01111016908,65.22772619,0.009030993966,65.22772619,-0.009400781374,65.22772619,-0.009445723438,65.22772619,-0.008047026505,65.22772619,0.008,
65.60153286,-0.003986304805,65.60153286,-0.007595271856,65.60153286,0.01303701534,65.60153286,0.01292703402,65.60153286,0.01237354711,65.60153286,0.01119761007,65.60153286,0.009081039754,65.60153286,-0.009237125283,65.60153286,-0.009352526217,65.60153286,-0.007993858124,65.60153286,0.008,
66.0152293,-0.003266694556,66.0152293,-0.007186936518,66.0152293,0.01370699453,66.0152293,0.01330566924,66.0152293,0.01258819004,66.0152293,0.01131960819,66.0152293,0.009150609292,66.0152293,-0.009006028773,66.0152293,-0.009221631515,66.0152293,-0.007919513222,66.0152293,0.008,
66.51806477,-0.002035323192,66.51806477,-0.006495941669,66.51806477,0.01483908471,66.51806477,0.01393831695,66.51806477,0.01294314929,66.51806477,0.01151953475,66.51806477,0.009263742483,66.51806477,-0.008619275617,66.51806477,-0.009004783052,66.51806477,-0.007797432596,66.51806477,0.008,
66.90529465,-0.0006874192602,66.90529465,-0.005747875169,66.90529465,0.01606064962,66.90529465,0.01461342015,66.90529465,0.01331781548,66.90529465,0.01172838274,66.90529465,0.009380805587,66.90529465,-0.008205488545,66.90529465,-0.008775429832,66.90529465,-0.007669684353,66.90529465,0.008,
67.21233156,0.0007301099178,67.21233156,-0.004967974793,67.21233156,0.01732870626,67.21233156,0.01530832181,67.21233156,0.01370023157,67.21233156,0.01193978752,67.21233156,0.009498356841,67.21233156,-0.007778141212,67.21233156,-0.008540773594,67.21233156,-0.00754015768,67.21233156,0.008,
67.47931971,0.002301924859,67.47931971,-0.004109891101,67.47931971,0.01871655526,67.47931971,0.01606337682,67.47931971,0.01411280183,67.47931971,0.01216626763,67.47931971,0.009623424607,67.47931971,-0.00731189229,67.47931971,-0.008286865852,67.47931971,-0.007401119435,67.47931971,0.008,
67.72751716,0.004139727392,67.72751716,-0.003114087219,67.72751716,0.02031626161,67.72751716,0.01692777803,67.72751716,0.01458194179,67.72751716,0.01242211685,67.72751716,0.009763802859,67.72751716,-0.006775332703,67.72751716,-0.007997041478,67.72751716,-0.007243641933,67.72751716,0.008,
67.96780714,0.006376603277,67.96780714,-0.001910242628,67.96780714,0.02223185956,67.96780714,0.01795653684,67.96780714,0.01513657277,67.96780714,0.01272261421,67.96780714,0.009927627657,67.96780714,-0.006132263566,67.96780714,-0.007652648886,67.96780714,-0.007058023278,67.96780714,0.008,
68.19060581,0.008972649631,68.19060581,-0.0005196942192,68.19060581,0.02441565271,68.19060581,0.01912431233,68.19060581,0.01576237845,68.19060581,0.01305954461,68.19060581,0.01011017561,68.19060581,-0.005395506977,68.19060581,-0.007261476836,68.19060581,-0.006848928101,68.19060581,0.008,
68.40834683,0.01213096145,68.40834683,0.001169589841,68.40834683,0.02702084207,68.40834683,0.02051565536,68.40834683,0.01650452144,68.40834683,0.01345682008,68.40834683,0.01032413592,68.40834683,-0.004506703308,68.40834683,-0.006793518654,68.40834683,-0.006600873253,68.40834683,0.008,
68.62079989,0.01595533274,68.62079989,0.003221708586,68.62079989,0.03010756832,68.62079989,0.02216894828,68.62079989,0.01738414855,68.62079989,0.01392544915,68.62079989,0.01057511697,68.62079989,-0.003432438927,68.62079989,-0.006232281583,68.62079989,-0.006305854287,68.62079989,0.008,
68.82264131,0.0204167884,68.82264131,0.005636989062,68.82264131,0.03362631136,68.82264131,0.02406827754,68.82264131,0.0183950328,68.82264131,0.0144623474,68.82264131,0.01086131761,68.82264131,-0.002170906257,68.82264131,-0.005577355212,68.82264131,-0.005964243323,68.82264131,0.008,
