"frequency";"r dbJPM";"i dbJPM"
4.5825e+09;-4.67314e-07;0
4.58265e+09;-4.67861e-07;0
4.5828e+09;-4.68409e-07;0
4.58295e+09;-4.68958e-07;0
4.5831e+09;-4.69509e-07;0
4.58325e+09;-4.70062e-07;0
4.5834e+09;-4.70616e-07;0
4.58355e+09;-4.71172e-07;0
4.5837e+09;-4.71729e-07;0
4.58385e+09;-4.72288e-07;0
4.584e+09;-4.72848e-07;0
4.58415e+09;-4.7341e-07;0
4.5843e+09;-4.73974e-07;0
4.58445e+09;-4.74539e-07;0
4.5846e+09;-4.75105e-07;0
4.58475e+09;-4.75674e-07;0
4.5849e+09;-4.76244e-07;0
4.58505e+09;-4.76815e-07;0
4.5852e+09;-4.77388e-07;0
4.58535e+09;-4.77963e-07;0
4.5855e+09;-4.7854e-07;0
4.58565e+09;-4.79118e-07;0
4.5858e+09;-4.79698e-07;0
4.58595e+09;-4.80279e-07;0
4.5861e+09;-4.80862e-07;0
4.58625e+09;-4.81447e-07;0
4.5864e+09;-4.82033e-07;0
4.58655e+09;-4.82622e-07;0
4.5867e+09;-4.83211e-07;0
4.58685e+09;-4.83803e-07;0
4.587e+09;-4.84396e-07;0
4.58715e+09;-4.84991e-07;0
4.5873e+09;-4.85588e-07;0
4.58745e+09;-4.86186e-07;0
4.5876e+09;-4.86787e-07;0
4.58775e+09;-4.87389e-07;0
4.5879e+09;-4.87992e-07;0
4.58805e+09;-4.88598e-07;0
4.5882e+09;-4.89205e-07;0
4.58835e+09;-4.89814e-07;0
4.5885e+09;-4.90425e-07;0
4.58865e+09;-4.91037e-07;0
4.5888e+09;-4.91652e-07;0
4.58895e+09;-4.92268e-07;0
4.5891e+09;-4.92886e-07;0
4.58925e+09;-4.93506e-07;0
4.5894e+09;-4.94128e-07;0
4.58955e+09;-4.94752e-07;0
4.5897e+09;-4.95377e-07;0
4.58985e+09;-4.96004e-07;0
4.59e+09;-4.96634e-07;0
4.59015e+09;-4.97265e-07;0
4.5903e+09;-4.97898e-07;0
4.59045e+09;-4.98533e-07;0
4.5906e+09;-4.99169e-07;0
4.59075e+09;-4.99808e-07;0
4.5909e+09;-5.00449e-07;0
4.59105e+09;-5.01091e-07;0
4.5912e+09;-5.01736e-07;0
4.59135e+09;-5.02382e-07;0
4.5915e+09;-5.03031e-07;0
4.59165e+09;-5.03681e-07;0
4.5918e+09;-5.04333e-07;0
4.59195e+09;-5.04988e-07;0
4.5921e+09;-5.05644e-07;0
4.59225e+09;-5.06303e-07;0
4.5924e+09;-5.06963e-07;0
4.59255e+09;-5.07625e-07;0
4.5927e+09;-5.0829e-07;0
4.59285e+09;-5.08956e-07;0
4.593e+09;-5.09625e-07;0
4.59315e+09;-5.10296e-07;0
4.5933e+09;-5.10968e-07;0
4.59345e+09;-5.11643e-07;0
4.5936e+09;-5.1232e-07;0
4.59375e+09;-5.12999e-07;0
4.5939e+09;-5.1368e-07;0
4.59405e+09;-5.14363e-07;0
4.5942e+09;-5.15049e-07;0
4.59435e+09;-5.15736e-07;0
4.5945e+09;-5.16426e-07;0
4.59465e+09;-5.17118e-07;0
4.5948e+09;-5.17812e-07;0
4.59495e+09;-5.18508e-07;0
4.5951e+09;-5.19206e-07;0
4.59525e+09;-5.19907e-07;0
4.5954e+09;-5.2061e-07;0
4.59555e+09;-5.21315e-07;0
4.5957e+09;-5.22022e-07;0
4.59585e+09;-5.22732e-07;0
4.596e+09;-5.23443e-07;0
4.59615e+09;-5.24157e-07;0
4.5963e+09;-5.24874e-07;0
4.59645e+09;-5.25592e-07;0
4.5966e+09;-5.26313e-07;0
4.59675e+09;-5.27036e-07;0
4.5969e+09;-5.27762e-07;0
4.59705e+09;-5.2849e-07;0
4.5972e+09;-5.2922e-07;0
4.59735e+09;-5.29953e-07;0
4.5975e+09;-5.30688e-07;0
4.59765e+09;-5.31425e-07;0
4.5978e+09;-5.32165e-07;0
4.59795e+09;-5.32907e-07;0
4.5981e+09;-5.33652e-07;0
4.59825e+09;-5.34399e-07;0
4.5984e+09;-5.35148e-07;0
4.59855e+09;-5.359e-07;0
4.5987e+09;-5.36654e-07;0
4.59885e+09;-5.37411e-07;0
4.599e+09;-5.3817e-07;0
4.59915e+09;-5.38932e-07;0
4.5993e+09;-5.39696e-07;0
4.59945e+09;-5.40463e-07;0
4.5996e+09;-5.41233e-07;0
4.59975e+09;-5.42005e-07;0
4.5999e+09;-5.42779e-07;0
4.60005e+09;-5.43556e-07;0
4.6002e+09;-5.44336e-07;0
4.60035e+09;-5.45118e-07;0
4.6005e+09;-5.45903e-07;0
4.60065e+09;-5.4669e-07;0
4.6008e+09;-5.47481e-07;0
4.60095e+09;-5.48273e-07;0
4.6011e+09;-5.49069e-07;0
4.60125e+09;-5.49867e-07;0
4.6014e+09;-5.50668e-07;0
4.60155e+09;-5.51471e-07;0
4.6017e+09;-5.52278e-07;0
4.60185e+09;-5.53087e-07;0
4.602e+09;-5.53898e-07;0
4.60215e+09;-5.54713e-07;0
4.6023e+09;-5.5553e-07;0
4.60245e+09;-5.5635e-07;0
4.6026e+09;-5.57173e-07;0
4.60275e+09;-5.57999e-07;0
4.6029e+09;-5.58827e-07;0
4.60305e+09;-5.59659e-07;0
4.6032e+09;-5.60493e-07;0
4.60335e+09;-5.6133e-07;0
4.6035e+09;-5.6217e-07;0
4.60365e+09;-5.63013e-07;0
4.6038e+09;-5.63859e-07;0
4.60395e+09;-5.64707e-07;0
4.6041e+09;-5.65559e-07;0
